Desa,Dusun,Year,EngagementTotal,EngagementBinned,LossTotal5yr_inside,ForestTotal5yr_inside,PercLossAnnual_inside,LossTotal5yr_outside,ForestTotal5yr_outside,PercLossAnnual_outside,Slope,Elevation,Aspect,DistanceRoad,DistanceRiver,DistanceEdge,Population_desa
riam berasap,pangkal tapang,2012,2400,3high,604,12511,9.66E-01,16464,44692,7.367761568,9.152942936,78.078229,206.3069329,2383.042357,2230.137316,603.5428872,1908
riam berasap,pangkal tapang,2017,10446,3high,181,11907,3.04E-01,4808,28228,3.406546691,9.152942936,78.078229,206.3069329,2383.042357,2230.137316,603.5428872,1908
sedahan jaya,begasing,2006,0,3high,620,26910,4.61E-01,329,4103,1.603704606,7.851022071,100.1341283,164.5791735,1974.828862,1119.066191,1613.128612,2307
sedahan jaya,begasing,2012,2009,3high,205,26268,1.56E-01,208,3774,1.102278749,7.851022071,100.1341283,164.5791735,1974.828862,1119.066191,1613.128612,2307
sedahan jaya,begasing,2017,10785,3high,80,26063,6.14E-02,72,3566,0.403813797,7.851022071,100.1341283,164.5791735,1974.828862,1119.066191,1613.128612,2307
sedahan jaya,sidorejo,2006,0,1low,531,28816,3.69E-01,26,3867,0.134471166,2.517911017,14.46353643,178.8238028,2113.093775,653.3181006,1403.94109,2307
sedahan jaya,sidorejo,2012,225,1low,776,28158,5.51E-01,54,3839,0.281323261,2.517911017,14.46353643,178.8238028,2113.093775,653.3181006,1403.94109,2307
sedahan jaya,sidorejo,2017,1084,1low,557,27382,4.07E-01,85,3785,0.449141347,2.517911017,14.46353643,178.8238028,2113.093775,653.3181006,1403.94109,2307
sedahan jaya,tanjung banjar,2006,0,2medium,1,519,3.85E-02,1,566,0.035335689,12.86512524,52.50096339,174.7360308,246.1581708,979.0280351,286.0813182,2307
sedahan jaya,tanjung banjar,2012,681,2medium,4,518,1.54E-01,8,565,0.283185841,12.86512524,52.50096339,174.7360308,246.1581708,979.0280351,286.0813182,2307
sedahan jaya,tanjung banjar,2017,3588,2medium,23,514,8.95E-01,4,557,0.143626571,12.86512524,52.50096339,174.7360308,246.1581708,979.0280351,286.0813182,2307
sejatera,melinsum,2006,0,2medium,454,24496,3.71E-01,255,2631,1.938426454,5.426112493,38.28886079,185.9989395,4015.58734,1905.049744,2683.065054,2085
sejatera,melinsum,2012,1207,2medium,245,23914,2.05E-01,8,2367,0.067596113,5.426112493,38.28886079,185.9989395,4015.58734,1905.049744,2683.065054,2085
sejatera,melinsum,2017,3100,2medium,774,23669,6.54E-01,428,2359,3.62865621,5.426112493,38.28886079,185.9989395,4015.58734,1905.049744,2683.065054,2085
sejatera,sungai belit,2006,0,1low,1924,17836,2.16E+00,346,4250,1.628235294,6.442620241,35.6735717,175.8948818,2885.629818,2107.130168,1111.656122,2085
sejatera,sungai belit,2012,165,1low,582,15908,7.32E-01,330,3902,1.691440287,6.442620241,35.6735717,175.8948818,2885.629818,2107.130168,1111.656122,2085
sejatera,sungai belit,2017,1652,1low,496,15326,6.47E-01,366,3572,2.049272116,6.442620241,35.6735717,175.8948818,2885.629818,2107.130168,1111.656122,2085
sejatera,tanjung gunung,2006,0,2medium,92,34742,5.30E-02,185,13223,0.279815473,3.362054085,34.77289988,184.7015247,4315.264624,1335.420973,2503.991784,2085
sejatera,tanjung gunung,2012,1572,2medium,68,34230,3.97E-02,989,12846,1.53977892,3.362054085,34.77289988,184.7015247,4315.264624,1335.420973,2503.991784,2085
sejatera,tanjung gunung,2017,6565,2medium,770,34162,4.51E-01,2870,11857,4.841022181,3.362054085,34.77289988,184.7015247,4315.264624,1335.420973,2503.991784,2085
sempurna,sawah sebokor,2006,0,2medium,1760,87132,4.04E-01,144,6255,0.460431655,9.023573711,73.50565952,177.3675148,3650.876674,3154.305823,2160.010698,2051
sempurna,sawah sebokor,2012,263,2medium,4953,85286,1.16E+00,66,6108,0.21611002,9.023573711,73.50565952,177.3675148,3650.876674,3154.305823,2160.010698,2051
sempurna,sawah sebokor,2017,3155,2medium,4790,80333,1.19E+00,535,6042,1.770936776,9.023573711,73.50565952,177.3675148,3650.876674,3154.305823,2160.010698,2051
simpang tiga,parit bugis,2006,0,1low,11,18461,1.19E-02,389,10328,0.753292022,3.010562808,30.08520665,180.9794702,4405.630404,1736.946639,1433.708574,1940
simpang tiga,parit bugis,2012,139,1low,0,18450,0.00E+00,203,9716,0.417867435,3.010562808,30.08520665,180.9794702,4405.630404,1736.946639,1433.708574,1940
simpang tiga,parit bugis,2017,249,1low,6,18450,6.50E-03,3619,9513,7.608535688,3.010562808,30.08520665,180.9794702,4405.630404,1736.946639,1433.708574,1940
simpang tiga,semanai,2006,0,1low,6,3062,3.92E-02,413,21336,0.387139108,2.801763553,21.70248204,182.6512084,2811.030482,830.4642954,174.0548176,1940
simpang tiga,semanai,2012,169,1low,0,3029,0.00E+00,924,20804,0.888290713,2.801763553,21.70248204,182.6512084,2811.030482,830.4642954,174.0548176,1940
simpang tiga,semanai,2017,376,1low,183,3029,1.21E+00,7328,19880,7.3722334,2.801763553,21.70248204,182.6512084,2811.030482,830.4642954,174.0548176,1940
sutra,payak itam,2006,0,2medium,67,4355,3.08E-01,150,3426,0.875656743,19.10853603,154.0516292,141.26067,933.8642972,2611.542503,637.3893005,5310
sutra,payak itam,2012,856,2medium,14,4288,6.53E-02,255,3276,1.556776557,19.10853603,154.0516292,141.26067,933.8642972,2611.542503,637.3893005,5310
sutra,payak itam,2017,5795,2medium,9,4274,4.21E-02,243,3021,1.608738828,19.10853603,154.0516292,141.26067,933.8642972,2611.542503,637.3893005,5310
sutra,selimau,2006,0,1low,3,705,8.51E-02,27,1978,0.273003033,18.93900709,135.3432624,168.2539007,448.0020393,1250.254934,240.1699891,5310
sutra,selimau,2012,57,1low,0,702,0.00E+00,48,1949,0.492560287,18.93900709,135.3432624,168.2539007,448.0020393,1250.254934,240.1699891,5310
sutra,selimau,2017,1541,1low,2,702,5.70E-02,175,1901,1.841136244,18.93900709,135.3432624,168.2539007,448.0020393,1250.254934,240.1699891,5310
teluk bayur,bayur indah,2006,0,1low,570,14867,7.67E-01,678,7106,1.908246552,4.828422181,44.10306724,168.7601795,1552.311855,1379.255497,921.1342567,3070
teluk bayur,bayur indah,2012,91,1low,438,14297,6.13E-01,716,6420,2.230529595,4.828422181,44.10306724,168.7601795,1552.311855,1379.255497,921.1342567,3070
teluk bayur,bayur indah,2017,245,1low,625,13859,9.02E-01,831,5704,2.913744741,4.828422181,44.10306724,168.7601795,1552.311855,1379.255497,921.1342567,3070
teluk bayur,sungai putih,2006,0,1low,661,23601,5.60E-01,2096,84058,0.498703276,5.591250739,55.08601469,171.9692171,1771.135493,1818.302818,1394.359209,3070
teluk bayur,sungai putih,2012,134,1low,641,22746,5.64E-01,8980,81888,2.193239547,5.591250739,55.08601469,171.9692171,1771.135493,1818.302818,1394.359209,3070
teluk bayur,sungai putih,2017,1202,1low,1746,22105,1.58E+00,21252,72908,5.829812915,5.591250739,55.08601469,171.9692171,1771.135493,1818.302818,1394.359209,3070
